Provincias;Tasas;Sexo;Periodo;Total
Total Nacional;Tasa de actividad;Ambos sexos;2015T2;59,79
Total Nacional;Tasa de actividad;Ambos sexos;2015T1;59,45
Total Nacional;Tasa de actividad;Ambos sexos;2014T4;59,77
Total Nacional;Tasa de actividad;Ambos sexos;2014T3;59,53
Total Nacional;Tasa de actividad;Ambos sexos;2014T2;59,63
Total Nacional;Tasa de actividad;Ambos sexos;2014T1;59,46
Total Nacional;Tasa de actividad;Ambos sexos;2013T4;59,86
Total Nacional;Tasa de actividad;Ambos sexos;2013T3;60,04
Total Nacional;Tasa de actividad;Ambos sexos;2013T2;60,00
Total Nacional;Tasa de actividad;Ambos sexos;2013T1;60,18
Total Nacional;Tasa de actividad;Ambos sexos;2012T4;60,23
Total Nacional;Tasa de actividad;Ambos sexos;2012T3;60,55
Total Nacional;Tasa de actividad;Ambos sexos;2012T2;60,50
Total Nacional;Tasa de actividad;Ambos sexos;2012T1;60,31
Total Nacional;Tasa de actividad;Ambos sexos;2011T4;60,29
Total Nacional;Tasa de actividad;Ambos sexos;2011T3;60,44
Total Nacional;Tasa de actividad;Ambos sexos;2011T2;60,44
Total Nacional;Tasa de actividad;Ambos sexos;2011T1;60,16
Total Nacional;Tasa de actividad;Ambos sexos;2010T4;60,25
Total Nacional;Tasa de actividad;Ambos sexos;2010T3;60,37
Total Nacional;Tasa de actividad;Ambos sexos;2010T2;60,41
Total Nacional;Tasa de actividad;Ambos sexos;2010T1;60,09
Total Nacional;Tasa de actividad;Ambos sexos;2009T4;59,99
Total Nacional;Tasa de actividad;Ambos sexos;2009T3;60,05
Total Nacional;Tasa de actividad;Ambos sexos;2009T2;60,30
Total Nacional;Tasa de actividad;Ambos sexos;2009T1;60,39
Total Nacional;Tasa de actividad;Ambos sexos;2008T4;60,35
Total Nacional;Tasa de actividad;Ambos sexos;2008T3;60,23
Total Nacional;Tasa de actividad;Ambos sexos;2008T2;60,07
Total Nacional;Tasa de actividad;Ambos sexos;2008T1;59,67
Total Nacional;Tasa de actividad;Ambos sexos;2007T4;59,47
Total Nacional;Tasa de actividad;Ambos sexos;2007T3;59,50
Total Nacional;Tasa de actividad;Ambos sexos;2007T2;59,23
Total Nacional;Tasa de actividad;Ambos sexos;2007T1;58,90
Total Nacional;Tasa de actividad;Ambos sexos;2006T4;58,88
Total Nacional;Tasa de actividad;Ambos sexos;2006T3;58,74
Total Nacional;Tasa de actividad;Ambos sexos;2006T2;58,63
Total Nacional;Tasa de actividad;Ambos sexos;2006T1;58,30
Total Nacional;Tasa de actividad;Ambos sexos;2005T4;58,08
Total Nacional;Tasa de actividad;Ambos sexos;2005T3;57,86
Total Nacional;Tasa de actividad;Ambos sexos;2005T2;57,86
Total Nacional;Tasa de actividad;Ambos sexos;2005T1;57,38
Total Nacional;Tasa de actividad;Ambos sexos;2004T4;57,12
Total Nacional;Tasa de actividad;Ambos sexos;2004T3;56,93
Total Nacional;Tasa de actividad;Ambos sexos;2004T2;56,55
Total Nacional;Tasa de actividad;Ambos sexos;2004T1;56,24
Total Nacional;Tasa de actividad;Ambos sexos;2003T4;56,25
Total Nacional;Tasa de actividad;Ambos sexos;2003T3;56,15
Total Nacional;Tasa de actividad;Ambos sexos;2003T2;55,65
Total Nacional;Tasa de actividad;Ambos sexos;2003T1;55,28
Total Nacional;Tasa de actividad;Ambos sexos;2002T4;54,95
Total Nacional;Tasa de actividad;Ambos sexos;2002T3;54,92
Total Nacional;Tasa de actividad;Ambos sexos;2002T2;54,48
Total Nacional;Tasa de actividad;Ambos sexos;2002T1;54,06
Total Nacional;Tasa de paro de la población;Ambos sexos;2026T1;10,83
Total Nacional;Tasa de paro de la población;Ambos sexos;2025T4;9,93
Total Nacional;Tasa de paro de la población;Ambos sexos;2025T3;10,45
Total Nacional;Tasa de paro de la población;Ambos sexos;2025T2;10,29
Total Nacional;Tasa de paro de la población;Ambos sexos;2025T1;11,36
Total Nacional;Tasa de paro de la población;Ambos sexos;2024T4;10,61
Total Nacional;Tasa de paro de la población;Ambos sexos;2024T3;11,21
Total Nacional;Tasa de paro de la población;Ambos sexos;2024T2;11,27
Total Nacional;Tasa de paro de la población;Ambos sexos;2024T1;12,29
Total Nacional;Tasa de paro de la población;Ambos sexos;2023T4;11,80
Total Nacional;Tasa de paro de la población;Ambos sexos;2023T3;11,89
Total Nacional;Tasa de paro de la población;Ambos sexos;2023T2;11,67
Total Nacional;Tasa de paro de la población;Ambos sexos;2023T1;13,38
Total Nacional;Tasa de paro de la población;Ambos sexos;2022T4;12,99
Total Nacional;Tasa de paro de la población;Ambos sexos;2022T3;12,73
Total Nacional;Tasa de paro de la población;Ambos sexos;2022T2;12,69
Total Nacional;Tasa de paro de la población;Ambos sexos;2022T1;13,73
Total Nacional;Tasa de paro de la población;Ambos sexos;2021T4;13,44
Total Nacional;Tasa de paro de la población;Ambos sexos;2021T3;14,71
Total Nacional;Tasa de paro de la población;Ambos sexos;2021T2;15,39
Total Nacional;Tasa de paro de la población;Ambos sexos;2021T1;16,14
Total Nacional;Tasa de paro de la población;Ambos sexos;2020T4;16,13
Total Nacional;Tasa de paro de la población;Ambos sexos;2020T3;16,26
Total Nacional;Tasa de paro de la población;Ambos sexos;2020T2;15,33
Total Nacional;Tasa de paro de la población;Ambos sexos;2020T1;14,41
Total Nacional;Tasa de paro de la población;Ambos sexos;2019T4;13,78
Total Nacional;Tasa de paro de la población;Ambos sexos;2019T3;13,92
Total Nacional;Tasa de paro de la población;Ambos sexos;2019T2;14,02
Total Nacional;Tasa de paro de la población;Ambos sexos;2019T1;14,70
Total Nacional;Tasa de paro de la población;Ambos sexos;2018T4;14,45
Total Nacional;Tasa de paro de la población;Ambos sexos;2018T3;14,55
Total Nacional;Tasa de paro de la población;Ambos sexos;2018T2;15,28
Total Nacional;Tasa de paro de la población;Ambos sexos;2018T1;16,74
Total Nacional;Tasa de paro de la población;Ambos sexos;2017T4;16,55
